crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
20005,ARTS 1316,Drawing Foundations,W,1900,2150,Arbor 1320.04,Janet Morton Reynolds,Spring 2023,100% F2F w/supplmtnl web,Closed
20006,ARTS 1325,Drawing for Non-Art Majors,W,1600,1850,Arbor 1320.04,Marjorie Carol Paben,Spring 2023,100% F2F w/supplmtnl web,Closed
20007,ARTS 1325,Drawing for Non-Art Majors,M,1600,1850,Arbor 1320.04,Lauren E Kussro,Spring 2023,100% F2F w/supplmtnl web,Closed
20008,ARTS 1325,Drawing for Non-Art Majors,W,1900,2150,Arbor 1320.04,Janet Morton Reynolds,Spring 2023,100% F2F w/supplmtnl web,Closed
20009,ARTS 2316,Painting,MW,1300,1550,Arbor 1150.01,Lauren E Yandell,Spring 2023,100% F2F w/supplmtnl web,Opened
20011,ARTS 2371,Digital Photography 1,W,1300,1550,Student Services Bld 220114,Angela Duron-Larson,Spring 2023,< 50% online,Opened
20012,ARTS 2371,Digital Photography 1,W,1900,2150,Student Services Bld 220114,Angela Duron-Larson,Spring 2023,< 50% online,Opened
20013,ARTS 2371,Digital Photography 1,T,830,1120,SSCB� 220113,Leslie Plaza Johnson,Spring 2023,< 50% online,Opened
20014,ARTS 2371,Digital Photography 1,H,830,1120,Student Services Bld 220114,Leslie Plaza Johnson,Spring 2023,< 50% online,Opened
20015,ARTS 2371,Digital Photography 1,H,1600,1850,Student Services Bld 220114,Daniel Seth Kraus,Spring 2023,< 50% online,Closed
20017,ARTS 2379,Arts and the Child,T,1800,2050,Arbor 1315.02,David Anthony Moya,Spring 2023,100% F2F w/supplmtnl web,Opened
20018,ARTS 2379,Arts and the Child,T,1800,2050,Arbor 1310.06,Victoria Suzanne Williams,Spring 2023,100% F2F w/supplmtnl web,Opened
20019,ARTS 2379,Arts and the Child,T,1800,2050,Arbor 1310.02,Henry A Darragh,Spring 2023,100% F2F w/supplmtnl web,Closed
20020,ARTS 3310,Sculpture,MW,900,1150,Arbor North 1200.15,Jason D Makepeace,Spring 2023,100% F2F w/supplmtnl web,Closed
20021,ARTS 3320,Ceramics,TH,830,1120,Arbor North 1200.08,Clay F Leonard,Spring 2023,100% F2F w/supplmtnl web,Closed
20022,ARTS 3331,Intermediate Drawing,TH,830,1120,Arbor 1150.01,Lauren E Yandell,Spring 2023,100% F2F w/supplmtnl web,Opened
20023,ARTS 3333,Life Drawing,F,900,1250,Arbor 1320.04,Mark Greenwalt,Spring 2023,100% F2F w/supplmtnl web,Closed
20024,ARTS 3333,Life Drawing,F,1400,1750,Arbor 1320.04,Nohelia Bolivar Vargas,Spring 2023,100% F2F w/supplmtnl web,Closed
20010,ARTS 3335,Intermediate Painting,MW,1300,1550,Arbor 1150.01,Lauren E Yandell,Spring 2023,100% F2F w/supplmtnl web,Closed
20026,ARTS 3340,Printmaking,TH,1900,2150,Arbor 1320.03,Lauren E Kussro,Spring 2023,100% F2F w/supplmtnl web,Closed
20027,ARTS 3341,Fibers,MW,1300,1550,Arbor North 1200.08,Marjorie Carol Paben,Spring 2023,100% F2F w/supplmtnl web,Closed
25808,ARTS 3351,Art 1950-Present,TDB,TDB,TDB,TBA,Jessica T Kubala,Spring 2023,100% Online,Closed
20030,ARTS 3352,Traditional Photography,F,900,1250,Arbor 1305.02,Daniel Seth Kraus,Spring 2023,100% F2F w/supplmtnl web,Opened
20033,ARTS 3360,Graphic Design,T,1900,2150,Student Services Bld 220114,Wale Akingbade,Spring 2023,> or equal to 50% Online,Opened
20034,ARTS 3360,Graphic Design,M,900,1150,Student Services Bld 220114,Stuart Larson,Spring 2023,< 50% online,Closed
20036,ARTS 4301,Methods in Secondary Art Education,TH,1300,1550,Arbor 1315.02,David Anthony Moya,Spring 2023,100% F2F w/supplmtnl web,Closed
20037,ARTS 4310,Advanced Sculpture,MW,1600,1850,Arbor North 1200.15,Jason D Makepeace,Spring 2023,100% F2F w/supplmtnl web,Opened
20445,ARTS 4315,Art of the Ancient Greek World,M,1600,1850,Bayou Building 1333,Sarah Kielt Costello,Spring 2023,< 50% online,Closed
20039,ARTS 4320,Advanced Ceramics,TH,1300,1550,Arbor North 1200.08,Clay F Leonard,Spring 2023,100% F2F w/supplmtnl web,Closed
21159,ARTS 4331,Advanced Drawing,MW,900,1150,Arbor 1320.01,Lauren E Yandell,Spring 2023,100% F2F w/supplmtnl web,Closed
20043,ARTS 4335,Advanced Painting,MW,900,1150,Arbor 1320.01,Lauren E Yandell,Spring 2023,100% F2F w/supplmtnl web,Closed
20047,ARTS 4339,Silkscreen Printing,TH,1300,1550,Arbor 1320.03,Lauren E Kussro,Spring 2023,100% F2F w/supplmtnl web,Closed
20028,ARTS 4341,Advanced Fibers,MW,1300,1550,Arbor North 1200.08,Marjorie Carol Paben,Spring 2023,100% F2F w/supplmtnl web,Opened
20048,ARTS 4348,Information Design,W,1600,1850,Student Services Bld 220114,Monica Edwards,Spring 2023,< 50% online,Opened
20031,ARTS 4350,Advanced Traditional Photography,F,900,1250,Arbor 1305.02,Daniel Seth Kraus,Spring 2023,100% F2F w/supplmtnl web,Closed
20050,ARTS 4351,Advanced Digital Photography,W,1600,1850,SSCB� 220113,Daniel Seth Kraus,Spring 2023,< 50% online,Closed
20053,ARTS 4358,History and Theory of Graphic Design,W,900,1150,Bayou Building 1326,Stuart Larson,Spring 2023,< 50% online,Closed
20055,ARTS 4369,Digital Illustration,T,830,1120,Student Services Bld 220114,Stuart Larson,Spring 2023,< 50% online,Closed
20057,ARTS 4390,Senior Seminar in Art,M,1300,1550,Student Services Bld 220114,Clay F Leonard,Spring 2023,100% F2F w/supplmtnl web,Closed
20059,ARTS 4391,Selected Topics in Art,T,1900,2150,Bayou Building 2104,Eric Despard,Spring 2023,100% F2F w/supplmtnl web,Closed
20060,ARTS 4391,Selected Topics in Art,TH,1600,1850,Arbor 1315.02,Janet Morton Reynolds,Spring 2023,< 50% online,Opened
25989,ARTS 4391,Selected Topics in Art,TDB,TDB,TDB,TBA,Sarah Kielt Costello,Spring 2023,100% Online,Closed
20038,ARTS 5231,Sculpture and Ceramic Studio,MW,1600,1850,Arbor North 1200.15,Jason D Makepeace,Spring 2023,100% F2F w/supplmtnl web,Opened
20040,ARTS 5231,Sculpture and Ceramic Studio,TH,1300,1550,Arbor North 1200.08,Clay F Leonard,Spring 2023,100% F2F w/supplmtnl web,Opened
20450,ARTS 5234,Art of the Ancient Greek World,M,1600,1850,Bayou Building 1333,Sarah Kielt Costello,Spring 2023,< 50% online,Opened
20044,ARTS 5331,Painting-Drawing-Printmaking,MW,900,1150,Arbor 1320.01,Lauren E Yandell,Spring 2023,100% F2F w/supplmtnl web,Closed
20046,ARTS 5331,Painting-Drawing-Printmaking,TH,1300,1550,Arbor 1320.03,Lauren E Kussro,Spring 2023,100% F2F w/supplmtnl web,Opened
19981,ASTR 1104,Lab for Solar System,H,1300,1550,STEM 1200,Samina S Masood,Spring 2023,100% F2F w/supplmtnl web,Opened
19982,ASTR 1104,Lab for Solar System,W,1900,2150,STEM 1200,Derek Smith,Spring 2023,100% F2F w/supplmtnl web,Opened
19988,ASTR 1304,Solar System,MWF,1100,1150,STEM 1203,Wes Kelly,Spring 2023,100% F2F w/supplmtnl web,Opened
21194,BIOL 1106,Lab for Biology for Science Majors I,W,900,1150,Bayou Building 3313,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Opened
21196,BIOL 1106,Lab for Biology for Science Majors I,W,1300,1550,Bayou Building 3313,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Opened
21198,BIOL 1107,Laboratory for Biology for Science Majors II,H,1300,1550,Bayou Building 3209,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Opened
21200,BIOL 1107,Laboratory for Biology for Science Majors II,H,1700,1950,Bayou Building 3209,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Opened
21203,BIOL 1107,Laboratory for Biology for Science Majors II,F,900,1150,Bayou Building 3209,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Closed
21206,BIOL 1107,Laboratory for Biology for Science Majors II,F,1300,1550,Bayou Building 3209,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Opened
21216,BIOL 1108,Laboratory for Biology for Non-Science Major I,W,900,1150,Bayou Building 3209,Luke Roland Choate,Spring 2023,100% F2F w/supplmtnl web,Opened
21217,BIOL 1108,Laboratory for Biology for Non-Science Major I,W,1300,1550,Bayou Building 3209,Luke Roland Choate,Spring 2023,100% F2F w/supplmtnl web,Opened
21218,BIOL 1306,Biology for Science Majors I,TH,1600,1720,Bayou Building 3326,Luke Roland Choate,Spring 2023,100% F2F w/supplmtnl web,Opened
21219,BIOL 1307,Biology for Science Majors II,TH,1000,1120,STEM 1203,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Opened
21220,BIOL 1308,Biology for Non-Science Majors I,TH,1300,1420,Bayou Building 1218,Luke Roland Choate,Spring 2023,100% F2F w/supplmtnl web,Opened
21221,BIOL 2102,Lab for Anatomy & Physiology II,M,1300,1550,BAYOU 3604,Catherine Yvonne Obrien,Spring 2023,100% F2F w/supplmtnl web,Opened
21222,BIOL 2121,Laboratory for Microbiology for Science Majors,W,900,1150,Bayou Building 3211,Michael Geary LaMontagne,Spring 2023,100% F2F w/supplmtnl web,Opened
21223,BIOL 2121,Laboratory for Microbiology for Science Majors,W,1300,1550,Bayou Building 3211,Michael Geary LaMontagne,Spring 2023,100% F2F w/supplmtnl web,Closed
21224,BIOL 2121,Laboratory for Microbiology for Science Majors,H,900,1150,Bayou Building 3211,Caroline Grace Kmiecik,Spring 2023,100% F2F w/supplmtnl web,Opened
21226,BIOL 2302,Anatomy & Physiology II,TH,1000,1120,Bayou Building 2106,Catherine Yvonne Obrien,Spring 2023,100% F2F w/supplmtnl web,Opened
21227,BIOL 2321,Microbiology for Science Majors,TH,1300,1420,Bayou Building 3332,Michael Geary LaMontagne,Spring 2023,100% F2F w/supplmtnl web,Opened
21228,BIOL 3141,Molecular Genetics Laboratory,M,1300,1550,Bayou Building 3313,Jennifer Anne McNaspy,Spring 2023,100% F2F w/supplmtnl web,Opened
21229,BIOL 3141,Molecular Genetics Laboratory,M,900,1150,Bayou Building 3313,Luke Roland Choate,Spring 2023,100% F2F w/supplmtnl web,Opened
21230,BIOL 3173,Human Anatomy Laboratory,T,1100,1250,BAYOU 3604,Stephen Michael Gruber,Spring 2023,100% F2F w/supplmtnl web,Closed
21231,BIOL 3173,Human Anatomy Laboratory,T,1300,1450,BAYOU 3604,Richard L Puzdrowski,Spring 2023,100% F2F w/supplmtnl web,Opened
21232,BIOL 3173,Human Anatomy Laboratory,T,1500,1650,BAYOU 3604,Richard L Puzdrowski,Spring 2023,100% F2F w/supplmtnl web,Opened
21236,BIOL 3307,Cell Biology,MW,1000,1120,Bayou Building 1333,Scott Buckel,Spring 2023,100% F2F w/supplmtnl web,Opened
25498,BIOL 3316,Introduction to Herpetology,T,1900,2150,Bayou Building 3615,Stanley Richard Mays,Spring 2023,100% F2F w/supplmtnl web,Opened
21237,BIOL 3341,Molecular Genetics,TH,1000,1120,Bayou Building 3326,Larry H Rohde,Spring 2023,100% F2F w/supplmtnl web,Opened
21238,BIOL 3373,Human Anatomy,M,1300,1550,Bayou Building 3332,Stephen Michael Gruber,Spring 2023,100% F2F w/supplmtnl web,Opened
21239,BIOL 4115,Biology Practicum,TDB,TDB,TDB,TBA,Trish Trubl,Spring 2023,100% F2F w/supplmtnl web,Opened
26711,BIOL 4115,Biology Practicum,TDB,TDB,TDB,TBA,Michael Geary LaMontagne,Spring 2023,100% F2F w/supplmtnl web,Opened
21245,BIOL 4241,Laboratory For Physiology,H,1800,2150,BAYOU 3604,Stephen Michael Gruber,Spring 2023,100% F2F w/supplmtnl web,Closed
21246,BIOL 4241,Laboratory For Physiology,H,1300,1650,BAYOU 3604,Stephen Michael Gruber,Spring 2023,100% F2F w/supplmtnl web,Opened
21247,BIOL 4241,Laboratory For Physiology,H,900,1250,BAYOU 3604,Stephen Michael Gruber,Spring 2023,100% F2F w/supplmtnl web,Closed
21260,BIOL 4242,Laboratory For Biochemistry,M,1200,1550,Bayou Building 3520,Scott Buckel,Spring 2023,100% F2F w/supplmtnl web,Opened
21262,BIOL 4242,Laboratory For Biochemistry,T,1200,1550,Bayou Building 3520,Scott Buckel,Spring 2023,100% F2F w/supplmtnl web,Opened
21263,BIOL 4252,Molecular Biology Laboratory,T,1200,1550,Bayou Building 3108,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21264,BIOL 4254,Laboratory for Eukaryotic Gene,W,1200,1550,Bayou Building 3108,Lory Zoe Santiago-Vazquez,Spring 2023,100% F2F w/supplmtnl web,Opened
21265,BIOL 4278,Seminar in Biology,W,1300,1450,Bayou Building 1135,Brian Stephens,Spring 2023,100% F2F w/supplmtnl web,Opened
24422,BIOL 4278,Seminar in Biology,W,1600,1750,Bayou Building 1213,Brian Stephens,Spring 2023,100% F2F w/supplmtnl web,Closed
23477,BIOL 4311,Ecology,M,1900,2150,Bayou Building 2512,Cindy Howard,Spring 2023,> or equal to 50% Online,Opened
23478,BIOL 4315,Biology Practicum,TDB,TDB,TDB,TBA,Cindy Howard,Spring 2023,100% F2F w/supplmtnl web,Opened
25439,BIOL 4325,Environmental Toxicology,MW,1600,1720,Bayou Building 3326,Cindy Howard,Spring 2023,100% F2F w/supplmtnl web,Opened
23482,BIOL 4341,Biochemistry I,TH,1000,1120,Bayou Building 2512,William R Mills,Spring 2023,100% F2F w/supplmtnl web,Opened
23483,BIOL 4342,Biochemistry II,MW,1130,1250,Bayou Building 2512,William R Mills,Spring 2023,100% F2F w/supplmtnl web,Opened
23484,BIOL 4343,Plant Physiology,TH,1600,1720,Bayou Building 2512,Brian Stephens,Spring 2023,100% F2F w/supplmtnl web,Closed
21250,BIOL 4345,Human Physiology,M,1600,1850,Bayou Building 2512,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Closed
21248,BIOL 4346,Pathophysiology,H,1600,1850,Bayou Building 2234,Richard L Puzdrowski,Spring 2023,100% F2F w/supplmtnl web,Opened
21244,BIOL 4347,Cellular Physiology,T,1300,1550,STEM 2101,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Opened
21243,BIOL 4348,Developmental Biology,W,1900,2150,Bayou Building 2236,Larry H Rohde,Spring 2023,100% F2F w/supplmtnl web,Opened
21242,BIOL 4351,Molecular Biology I,M,1600,1850,Bayou Building 2236,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21241,BIOL 4355,Tissue Culture,M,1900,2150,Bayou Building 3108,Larry H Rohde,Spring 2023,100% F2F w/supplmtnl web,Closed
21240,BIOL 4361,Immunology,H,900,1150,Bayou Building 3332,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Closed
23564,BIOL 5334,Microbial Ecology,MW,1730,1850,Bayou Building 3324,Michael Geary LaMontagne,Spring 2023,100% F2F w/supplmtnl web,Opened
23565,BIOL 5436,Physiological Basis of Disease,H,1600,1850,Bayou Building 3615,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Opened
25438,BIOL 5534,Conservation Biology,TDB,TDB,TDB,TBA,Jenny Wrast Oakley,Spring 2023,100% Online,Opened
23566,BIOL 5731,Advanced Cancer Biology,M,1900,2150,Bayou Building 2234,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Closed
25523,BIOL 5736,Bioethics,M,1600,1850,Bayou Building 1104,William R Mills,Spring 2023,> or equal to 50% Online,Closed
23569,BIOL 6838,Research Project And Seminar,M,1600,1850,Bayou Building 3615,Brian Stephens,Spring 2023,> or equal to 50% Online,Opened
26959,BIOL 6838,Research Project And Seminar,T,1900,2150,TBA,Scott Buckel,Spring 2023,> or equal to 50% Online,Opened
21168,BIOT 5011,Methods in Biotechnology Discussion,H,1700,1750,Bayou Building 3108,Minal Yashwant Bhadane,Spring 2023,> or equal to 50% Online,Opened
21170,BIOT 5021,Methods of Biotechnology,H,1800,2150,Bayou Building 3108,Minal Yashwant Bhadane,Spring 2023,100% F2F w/supplmtnl web,Opened
21174,BIOT 5111,Advanced Methods of Biotechnology I Discussion,M,1100,1150,Bayou Building 3108,Martha Ariza,Spring 2023,> or equal to 50% Online,Closed
21176,BIOT 5112,Advanced Methods of Biotechnology II Discussion,T,1300,1350,SSCB� 2302,Martha Ariza,Spring 2023,> or equal to 50% Online,Opened
21175,BIOT 5121,Advanced Methods of Biotechnology I,M,1200,1550,Bayou Building 3108,Martha Ariza,Spring 2023,100% F2F w/supplmtnl web,Opened
21177,BIOT 5122,Advanced Methods of Biotechnology II,T,830,1220,Bayou Building 1311,Martha Ariza,Spring 2023,100% F2F w/supplmtnl web,Opened
21181,BIOT 5530,Research Methods in Biotechnology,W,1900,2150,Bayou Building 1104,Lory Zoe Santiago-Vazquez,Spring 2023,> or equal to 50% Online,Opened
21184,BIOT 5736,Bioethics,M,1600,1850,Bayou Building 1104,William R Mills,Spring 2023,100% F2F w/supplmtnl web,Opened
21188,BIOT 5915,Cooperative Education Work Term,TDB,TDB,TDB,TBA,Lory Zoe Santiago-Vazquez,Spring 2023,100% F2F w/supplmtnl web,Opened
21173,BIOT 5933,Laboratory Topics in Biotechnology,H,830,1310,Bayou Building 3108,Martha Ariza,Spring 2023,100% F2F w/supplmtnl web,Closed
21189,BIOT 6021,Biotechnology Practicum,TDB,TDB,TDB,TBA,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21190,BIOT 6031,Biotechnology Practicum,TDB,TDB,TDB,TBA,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21191,BIOT 6838,Research Project and Seminar,W,1900,2150,Bayou Building 1104,Lory Zoe Santiago-Vazquez,Spring 2023,< 50% online,Opened
20082,CENG 2112,Lab For Digital Circuits,M,900,1150,Delta Building 128,Miguel Angel Pagan,Spring 2023,100% F2F w/supplmtnl web,Opened
20083,CENG 2112,Lab For Digital Circuits,T,1300,1550,Delta Building 128,Miguel Angel Pagan,Spring 2023,100% F2F w/supplmtnl web,Opened
